"conversation_id","inspector_id","session_id","start_time","end_time","total_messages","session_type","context_topic"
1,175,"62a41225-5d27-4030-bd00-d3319f5f16b2","2024-09-02 19:26:55","2024-09-02 19:52:55",16,"药用辅料查询","药用辅料标准查询"
2,226,"b911b849-2021-4441-8dad-2145c4a53b93","2024-02-16 18:04:28","2024-02-16 18:24:28",17,"质量标准验证","化学药品标准查询"
3,173,"17ca24d6-429d-4988-87a6-c53efc832a30","2024-12-05 10:40:30","2024-12-05 10:55:30",8,"通则指导查询","指导原则查询"
4,220,"b4346bb5-1f0a-471a-af99-29f7e47ed5c1","2024-12-30 02:11:36","2024-12-30 02:40:36",16,"制剂标准查询","单味制剂标准查询"
5,293,"42025591-00ee-4c6a-a885-4bfed3282d73","2025-09-21 15:23:37","2025-09-21 15:44:37",8,"药用辅料查询","通用技术要求查询"
6,263,"4dd0fcc9-f9ad-4770-90c2-a16d0673b5bc","2025-06-29 17:32:54","2025-06-29 17:43:54",11,"质量标准验证","检验方法查询"
7,301,"ed93e70e-9889-45f9-b745-c528ee292b33","2025-10-02 23:14:28","2025-10-02 23:29:28",11,"药用辅料查询","药用辅料标准查询"
8,296,"10a4f16b-a7ad-440f-b00b-b509793c6eba","2024-06-05 21:57:13","2024-06-05 22:20:13",8,"生物制品查询","生物制品标准查询"
9,167,"a4f115e9-1671-41e4-a2cc-d0dbc6fec3cf","2024-07-09 02:37:18","2024-07-09 02:49:18",16,"实验操作指导","通则标准查询"
10,206,"85eabb3d-4ee9-46f4-8660-6f9b4fc96735","2025-02-09 02:20:17","2025-02-09 02:42:17",13,"标准解读咨询","通用技术要求查询"
11,245,"d6eb8d96-7aeb-41d5-bbd4-0bef91944d91","2024-02-04 22:52:46","2024-02-04 23:04:46",17,"化学药品标准查询","化学药品标准查询"
12,246,"15f24169-1124-4047-9b1b-34d6e8fccc23","2024-07-11 23:30:17","2024-07-11 23:36:17",11,"饮片标准查询","成方制剂标准查询"
13,222,"3081f7ee-88bc-4d9d-bc69-83616d7cb789","2024-01-09 16:30:56","2024-01-09 16:41:56",15,"生物制品查询","生物制品标准查询"
14,161,"ac53ab59-b225-4fd6-a9fa-e578e6766104","2023-01-15 19:13:56","2023-01-15 19:36:56",13,"生物制品查询","疫苗标准查询"
15,269,"1cf5ed87-732c-4b05-bd2b-1935423e4499","2024-11-22 08:28:02","2024-11-22 08:33:02",9,"实验操作指导","指导原则查询"
16,185,"15bf0970-950c-4b7a-89e2-d4fcc1235d8d","2024-07-24 09:36:04","2024-07-24 09:58:04",16,"制剂标准查询","成方制剂标准查询"
17,225,"33cffbed-d538-4fd0-bddd-c41f6cddfbc7","2023-04-16 07:23:42","2023-04-16 07:42:42",18,"药用辅料查询","药用辅料标准查询"
18,210,"bf89e2b0-ddac-4646-bff9-92855d256609","2025-09-27 06:36:52","2025-09-27 06:51:52",11,"化学药品标准查询","检验方法查询"
19,210,"294a5317-42c4-4e8a-9a14-bd028124075b","2023-02-28 18:46:56","2023-02-28 18:56:56",13,"饮片标准查询","成方制剂标准查询"
20,240,"c0b502f6-1b7e-4902-aaba-3a13630d1a1f","2023-04-11 06:24:50","2023-04-11 06:34:50",12,"药材鉴定查询","单味制剂标准查询"
21,239,"25f8188f-1061-40ea-abe6-466e5c7c0ee2","2025-12-14 20:11:21","2025-12-14 20:37:21",18,"标准解读咨询","通则标准查询"
22,172,"a7896561-20e7-4be1-8ed6-11ce23909683","2023-03-06 20:59:46","2023-03-06 21:11:46",11,"质量标准验证","化学药品标准查询"
23,198,"5fe3c2bb-a336-4f3f-8b9f-f74589f8b6e8","2024-08-29 12:02:45","2024-08-29 12:20:45",8,"检测方法咨询","指导原则查询"
24,168,"d8a80d38-73d2-4431-9e1a-87ac6b62684d","2024-04-02 18:49:12","2024-04-02 19:06:12",8,"标准解读咨询","指导原则查询"
25,173,"69b7f937-1464-401f-bed1-630d0227efd0","2025-10-25 17:26:14","2025-10-25 17:51:14",17,"药典更新查询","通用技术要求查询"
26,165,"ca864ef3-be8f-44bd-a1e6-eefd3d4dca5d","2024-02-15 15:32:38","2024-02-15 15:46:38",13,"检测方法咨询","通则标准查询"
27,223,"fcc927e8-b8d9-459a-b9e5-0bd33273e3e8","2025-10-22 02:42:19","2025-10-22 02:50:19",10,"标准解读咨询","通则标准查询"
28,241,"7be558c9-a795-47fe-8c4a-035f8d550bbc","2024-04-24 14:05:44","2024-04-24 14:29:44",17,"药典更新查询","通则标准查询"
29,246,"9a75f2fd-2dd2-427a-b6d8-3e9086188789","2025-04-29 02:07:51","2025-04-29 02:24:51",8,"药材鉴定查询","药材和饮片标准查询"
